0	b-Q	4.18	0	5.88	-37.38	31.5	49.4122	37.8396	b-Q	4.18	0	8.12	-51.62	43.5	68.1196	52.2547
1	Tau+	1.776	0	-61.75	-39	46.8	86.7609	73.0347	Tau-	1.776	0	-33.25	-21	25.2	46.7414	39.3264
2	b-Q	4.18	0	38.71	13.23	-19.6	45.5536	40.9084	b-Q	4.18	0	40.29	13.77	-20.4	47.3976	42.5781
3	b-Q	4.18	0	-28.98	4.2	0.84	29.5915	29.2828	b-Q	4.18	0	-40.02	5.8	1.16	40.6701	40.4381
4	Tau+	1.776	0	-20.79	49.77	28.35	60.9603	53.9377	Tau-	1.776	0	-12.21	29.23	16.65	35.8309	31.6777
5	b-Q	4.18	0	24.38	-20.7	8.74	33.4176	31.9824	b-Q	4.18	0	28.62	-24.3	10.26	39.145	37.5446
6	b-Q	4.18	0	8.58	-9.9	17.16	21.9901	13.1006	b-Q	4.18	0	4.42	-5.1	8.84	11.8813	6.74881
7	b-Q	4.18	0	35.2	-2.64	-7.04	36.2359	35.2989	b-Q	4.18	0	44.8	-3.36	-8.96	46.0009	44.9258
8	W+	91.2	1	-20.64	-33.54	11.61	100.016	39.382	W-	91.2	1	-27.36	-44.46	15.39	106.205	52.204
9	b-Q	4.18	0	-23.03	47.04	-47.53	70.85	52.375	b-Q	4.18	0	-23.97	48.96	-49.47	73.7319	54.5128
10	b-Q	4.18	0	-26.04	24.18	42.78	55.7706	35.5353	b-Q	4.18	0	-15.96	14.82	26.22	34.3412	21.7797
11	b-Q	4.18	0	-12.24	12.92	-32.3	37.1148	17.7973	b-Q	4.18	0	-23.76	25.08	-62.7	71.7099	34.5477
12	b-Q	4.18	0	-18.55	-3.15	0	19.2743	18.8156	b-Q	4.18	0	-34.45	-5.85	0	35.1923	34.9432
13	b-Q	4.18	0	-51.6	-52.8	44.4	86.251	73.8268	b-Q	4.18	0	-34.4	-35.2	29.6	57.585	49.2179
14	W+	91.2	1	-50.63	-59.17	46.97	128.795	77.8748	W-	91.2	1	-32.37	-37.83	30.03	108.158	49.7888
15	b-Q	4.18	0	-56.12	18.91	-53.68	80.0378	59.2203	b-Q	4.18	0	-35.88	12.09	-34.32	51.2726	37.8622
16	b-Q	4.18	0	-35.28	-34.72	26.88	56.4815	49.4991	b-Q	4.18	0	-27.72	-27.28	21.12	44.4536	38.8921
17	b-Q	4.18	0	-25.16	22.57	8.88	35.196	33.7999	b-Q	4.18	0	-42.84	38.43	15.12	59.6508	57.5511
18	b-Q	4.18	0	13.32	23.31	-35.89	45.0149	26.8473	b-Q	4.18	0	22.68	39.69	-61.11	76.4302	45.713
19	W+	91.2	1	17.1	40.05	-22.5	103.538	43.5478	W-	91.2	1	20.9	48.95	-27.5	109.117	53.2251
20	b-Q	4.18	0	-45.26	41.54	3.72	61.6875	61.4332	b-Q	4.18	0	-27.74	25.46	2.28	37.9525	37.6526
21	b-Q	4.18	0	-57.2	35.75	0	67.5824	67.453	b-Q	4.18	0	-30.8	19.25	0	36.5606	36.3208
22	Tau+	1.776	0	4.96	-20.46	-14.26	25.4895	21.0526	Tau-	1.776	0	11.04	-45.54	-31.74	56.6247	46.8591
23	b-Q	4.18	0	-8.17	-31.39	7.74	33.6075	32.4358	b-Q	4.18	0	-10.83	-41.61	10.26	44.4007	42.9963
24	b-Q	4.18	0	-59.85	-42.21	1.89	73.3809	73.2373	b-Q	4.18	0	-35.15	-24.79	1.11	43.2293	43.0124
25	b-Q	4.18	0	22.44	31.68	-7.59	39.7776	38.8224	b-Q	4.18	0	45.56	64.32	-15.41	80.4221	78.8212
26	b-Q	4.18	0	-23.45	8.71	0.67	25.371	25.0153	b-Q	4.18	0	-11.55	4.29	0.33	13.0149	12.321
27	b-Q	4.18	0	2.59	-9.25	-10.36	14.7334	9.60576	b-Q	4.18	0	4.41	-15.75	-17.64	24.4162	16.3558
28	b-Q	4.18	0	-9.72	-16.56	-7.2	20.929	19.2019	b-Q	4.18	0	-17.28	-29.44	-12.8	36.6964	34.1367
29	b-Q	4.18	0	-8.32	0.64	1.28	9.42034	8.34458	b-Q	4.18	0	-17.68	1.36	2.72	18.4202	17.7322
30	b-Q	4.18	0	21.16	-2.76	5.06	22.3258	21.3392	b-Q	4.18	0	24.84	-3.24	5.94	26.0822	25.0504
31	W+	91.2	1	-47.52	-26.46	-52.92	118.643	54.3901	W-	91.2	1	-40.48	-22.54	-45.08	111.787	46.3323
32	b-Q	4.18	0	0	-10.08	48.72	49.9271	10.08	b-Q	4.18	0	0	-7.92	38.28	39.3136	7.92
33	W+	91.2	1	13.25	-14.31	-42.93	102.668	19.5023	W-	91.2	1	11.75	-12.69	-38.07	100.329	17.2945
34	b-Q	4.18	0	50.35	-39.22	17.49	66.3076	63.8227	b-Q	4.18	0	44.65	-34.78	15.51	58.8328	56.5974
35	b-Q	4.18	0	30.24	31.36	45.36	63.031	43.565	b-Q	4.18	0	23.76	24.64	35.64	49.5918	34.2296
36	b-Q	4.18	0	-15.91	-22.36	16.34	32.2113	27.4426	b-Q	4.18	0	-21.09	-29.64	21.66	42.5435	36.3774
37	b-Q	4.18	0	29.14	23.5	-12.22	39.6004	37.4351	b-Q	4.18	0	32.86	26.5	-13.78	44.6026	42.2141
38	b-Q	4.18	0	-6	-3.6	0	8.15061	6.99714	b-Q	4.18	0	-4	-2.4	0	6.26358	4.66476
39	b-Q	4.18	0	-15.96	6.27	-5.7	18.5472	17.1474	b-Q	4.18	0	-12.04	4.73	-4.3	14.2582	12.9358
40	b-Q	4.18	0	-30.6	30.6	26.28	50.8019	43.2749	b-Q	4.18	0	-54.4	54.4	46.72	90.1052	76.9332
41	b-Q	4.18	0	-4.56	-30.21	-50.73	59.367	30.5522	b-Q	4.18	0	-3.44	-22.79	-38.27	44.8696	23.0482
42	b-Q	4.18	0	-21.84	10.14	11.31	26.9294	24.0791	b-Q	4.18	0	-34.16	15.86	17.69	41.8193	37.6623
43	b-Q	4.18	0	-43.12	18.04	-31.24	56.3754	46.7416	b-Q	4.18	0	-54.88	22.96	-39.76	71.675	59.4893
44	W+	91.2	1	39.78	-43.35	30.09	112.626	58.836	W-	91.2	1	38.22	-41.65	28.91	111.125	56.5287
45	b-Q	4.18	0	32.33	-48.23	-38.69	69.8981	58.0634	b-Q	4.18	0	28.67	-42.77	-34.31	62.0152	51.4902
46	W+	91.2	1	-31.08	-16.38	40.74	105.884	35.1322	W-	91.2	1	-42.92	-22.62	56.26	117.628	48.5159
47	b-Q	4.18	0	62.04	-34.32	-50.16	86.9501	70.9001	b-Q	4.18	0	31.96	-17.68	-25.84	44.9355	36.5243
48	b-Q	4.18	0	7.14	40.8	3.57	41.7832	41.42	b-Q	4.18	0	6.86	39.2	3.43	40.1614	39.7957
49	W+	91.2	1	-34.56	-30.08	40.32	109.738	45.817	W-	91.2	1	-19.44	-16.92	22.68	97.4475	25.7721
50	b-Q	4.18	0	-44.84	57.23	-17.7	74.9444	72.7042	b-Q	4.18	0	-31.16	39.77	-12.3	52.1667	50.5232
51	W+	91.2	1	-11.22	22.44	10.2	95.1363	25.0887	W-	91.2	1	-21.78	43.56	19.8	105.268	48.7016
52	W+	91.2	1	57.23	47.79	-28.32	121.155	74.5598	W-	91.2	1	39.77	33.21	-19.68	106.721	51.8127
53	b-Q	4.18	0	34.4	21.93	27.09	49.149	40.7956	b-Q	4.18	0	45.6	29.07	35.91	65.0494	54.078
54	b-Q	4.18	0	61.74	-22.68	-1.26	65.9187	65.7739	b-Q	4.18	0	36.26	-13.32	-0.74	38.8617	38.6291
55	b-Q	4.18	0	32.76	37.44	6.76	50.38	49.7491	b-Q	4.18	0	30.24	34.56	6.24	46.5324	45.9222
56	Tau+	1.776	0	-2.24	-14.72	19.84	24.8692	14.8895	Tau-	1.776	0	-4.76	-31.28	42.16	52.742	31.6401
57	Z+	91.186	1	-34.84	-64.99	43.55	125.096	73.7396	Z-	91.186	1	-17.16	-32.01	21.45	100.469	36.3195
58	b-Q	4.18	0	-26.6	-33.82	-20.14	47.6911	43.0273	b-Q	4.18	0	-43.4	-55.18	-32.86	77.625	70.2025
59	b-Q	4.18	0	-34.56	25.92	-4.32	43.6162	43.2	b-Q	4.18	0	-61.44	46.08	-7.68	77.2961	76.8
60	b-Q	4.18	0	29.4	-23.1	21	43.0865	37.3894	b-Q	4.18	0	54.6	-42.9	39	79.7499	69.4375
61	b-Q	4.18	0	24.82	-9.86	-24.48	36.4691	26.7068	b-Q	4.18	0	48.18	-19.14	-47.52	70.4505	51.8426
62	b-Q	4.18	0	-13.53	-22.11	-20.46	33.2866	25.9213	b-Q	4.18	0	-27.47	-44.89	-41.54	67.1771	52.6281
63	Tau+	1.776	0	2.05	-38.13	-1.23	38.2461	38.1851	Tau-	1.776	0	2.95	-54.87	-1.77	55.0064	54.9492
64	b-Q	4.18	0	-36.96	-31.68	-10.08	49.8873	48.6792	b-Q	4.18	0	-40.04	-34.32	-10.92	54.0165	52.7358
65	b-Q	4.18	0	-14.74	4.69	56.28	58.5164	15.4682	b-Q	4.18	0	-7.26	2.31	27.72	29.0502	7.61864
66	Tau+	1.776	0	-42.21	-40.95	-61.74	85.2852	58.8097	Tau-	1.776	0	-24.79	-24.05	-36.26	50.1088	34.5391
67	b-Q	4.18	0	-12.25	28.35	-14	34.1651	30.8834	b-Q	4.18	0	-22.75	52.65	-26	63.1115	57.3549
68	W+	91.2	1	35.84	3.2	-23.68	100.861	35.9826	W-	91.2	1	20.16	1.8	-13.32	94.3638	20.2402
69	W+	91.2	1	48.36	-8.32	-52	115.885	49.0705	W-	91.2	1	44.64	-7.68	-48	112.575	45.2958
70	b-Q	4.18	0	-31.02	-26.32	2.82	40.9928	40.6815	b-Q	4.18	0	-34.98	-29.68	3.18	46.1745	45.8749
71	b-Q	4.18	0	3.43	36.75	-37.24	52.5986	36.9097	b-Q	4.18	0	3.57	38.25	-38.76	54.7322	38.4162
72	b-Q	4.18	0	46.11	16.43	-9.54	50.0456	48.9497	b-Q	4.18	0	40.89	14.57	-8.46	44.4221	43.4083
73	W+	91.2	1	4.5	-32.5	-45	106.859	32.8101	W-	91.2	1	4.5	-32.5	-45	106.859	32.8101
74	b-Q	4.18	0	16.75	60.97	-22.78	67.3372	63.229	b-Q	4.18	0	8.25	30.03	-11.22	33.365	31.1426
75	b-Q	4.18	0	-6.8	-24.48	0.34	25.7507	25.4069	b-Q	4.18	0	-13.2	-47.52	0.66	49.5005	49.3193
76	b-Q	4.18	0	-18.15	26.4	25.08	40.9006	32.0372	b-Q	4.18	0	-36.85	53.6	50.92	82.7116	65.0452
77	b-Q	4.18	0	19.38	-33.06	-7.98	39.3662	38.3216	b-Q	4.18	0	14.62	-24.94	-6.02	29.8238	28.9093
78	b-Q	4.18	0	12.6	33.3	-44.55	57.1824	35.6041	b-Q	4.18	0	15.4	40.7	-54.45	69.8278	43.5161
79	Tau+	1.776	0	-13.8	-23.4	-13.8	30.522	27.1662	Tau-	1.776	0	-9.2	-15.6	-9.2	20.391	18.1108
80	b-Q	4.18	0	-4.76	22.78	28.22	36.8161	23.272	b-Q	4.18	0	-9.24	44.22	54.78	71.1274	45.1751
81	W+	91.2	1	-11.47	1.48	31.45	97.1612	11.5651	W-	91.2	1	-19.53	2.52	53.55	107.577	19.6919
82	W+	91.2	1	11.02	31.32	43.5	106.358	33.2022	W-	91.2	1	7.98	22.68	31.5	99.4372	24.0429
83	b-Q	4.18	0	56.05	-57.82	-16.52	82.3112	80.528	b-Q	4.18	0	38.95	-40.18	-11.48	57.2782	55.9601
84	b-Q	4.18	0	59.34	21.39	-67.62	92.5673	63.0775	b-Q	4.18	0	26.66	9.61	-30.38	41.7555	28.3392
85	b-Q	4.18	0	15.18	-45.54	-8.97	49.0128	48.0034	b-Q	4.18	0	6.82	-20.46	-4.03	22.3347	21.5667
86	b-Q	4.18	0	47.74	16.12	-34.1	60.9856	50.3881	b-Q	4.18	0	29.26	9.88	-20.9	37.5239	30.883
87	b-Q	4.18	0	-34.76	29.48	32.56	56.169	45.5777	b-Q	4.18	0	-44.24	37.52	41.44	71.412	58.008
